,id,address,floor,allfloor,layout,area,price,browsenum_all
0,6034156,建國南路一段東區首選優..,10,14,2房2廳2衛,33.0,"40,000",215
1,6051904,仁愛路四段東區精選~優質裝潢..,4,7,2房2廳2衛,42.0,"65,000",44
2,6048954,和平東路三段優質裝潢2+1房~..,11,14,3房2廳2衛,58.0,"80,000",50
3,6031189,光復南路優質裝潢~黃金地段~..,6,14,1房1廳1衛,22.0,"42,000",144
4,6013965,仁愛路四段忠孝敦化精選三房~,2,7,3房2廳2衛,47.0,"65,000",219
5,6014414,永康街~近大安森林公園~捷運..,5,5,5房2廳3衛,46.0,"50,000",340
6,5979753,復興南路一段忠孝SOGO正隔壁~..,5,16,3房2廳2衛,54.0,"80,000",183
7,5979145,光復南路1+1和室~大安區氣派..,11,14,2房1廳1衛,27.0,"51,000",216
8,5976454,忠孝東路四段東區精選~裝潢佳..,6,7,2房2廳1衛,18.0,"63,000",227
9,6059156,光復南路優質裝潢即可入住,12,15,3房2廳2衛,33.0,"65,000",37
10,5916577,安和路二段217巷遠企靜巷雅寓,2,5,3房2廳2衛,31.7,"36,000",1766
11,6048646,新生南路一段143巷大安公園+..,2,7,3房2廳2衛,32.3,"44,500",144
12,5990519,仁愛路四段71巷仁愛圓環靜巷大..,2,7,3房2廳2衛,66.0,"65,000",179
13,5924358,信義路二段東門捷運站中正國中..,3,11,1房1廳1衛,11.0,"32,999",691
14,6054105,建國南路二段大安森林公園市立..,2,4,1房1廳1衛,16.0,"22,000",349
15,6049632,和平東路三段『★Taipei☆101..,17,19,3房2廳2衛,79.0,"84,990",52
16,6058776,忠孝東路四段223巷『☆秒殺！..,4,7,3房2廳2衛,45.0,"45,990",75
17,6058708,忠孝東路四段223巷『☆秒殺！..,4,7,3房2廳2衛,45.0,"45,990",60
18,6056877,安和路一段近仁愛路.敦化南路..,4,16,4房2廳2衛,49.4,"59,000",35
19,6036724,仁愛路四段生活機能完善住宅,3,15,2房2廳2衛,40.0,"75,000",94
20,6036707,仁愛路四段附全套傢俱按摩浴缸,3,15,2房2廳2衛,40.0,"75,000",87
21,5997103,仁愛路四段仁愛林蔭舒適二房好..,3,15,2房2廳2衛,40.0,"75,000",258
22,6002237,忠孝東路四段216巷忠孝敦化+..,5,7,3房2廳2衛,41.0,"70,000",180
23,6043076,溫州街捷運600公尺台大電梯2..,4,7,2房1廳1衛,20.0,"30,000",577
24,6025497,復興南路一段**近忠孝復..,100,7,2房1廳1衛,18.0,"25,000",1470
25,5976953,光復南路我最便宜國館捷運電梯..,3,7,1房1廳1衛,41.9,"52,000",272
26,6057826,基隆路二段近光復南路口.生活..,11,12,2房1廳2衛,13.7,"37,800",56
27,6039973,敦化南路二段★敦南遠企雙捷運..,10,16,3房2廳2衛,35.7,"44,999",134
28,6019688,仁愛路四段★仁愛圓環林蔭美裝..,4,14,2房2廳1衛,19.2,"36,000",230
29,6057799,新生南路一段133巷★大安森林..,4,6,6房2廳4衛,136.3,"159,999",21
0,6057745,光復南路靠近信義安和站國父紀..,4,9,2房2廳1衛,21.9,"26,000",368
1,6002206,和平東路二段★大安森林公園★..,6,11,3房2廳2衛,37.8,"79,000",147
2,5998635,新生南路三段星雲大廈高樓,10,14,2房2廳2衛,36.4,"40,000",407
3,6057530,市民大道四段東區優雅吧檯兩房,3,7,2房1廳1衛,15.0,"29,000",192
4,6057521,忠孝東路三段251巷近忠孝復興..,4,4,3房2廳1衛,36.3,"48,000",43
5,6057499,仁愛路四段仁愛圓環林蔭大道●..,3,14,3房2廳2衛,65.3,"110,000",30
6,6057468,光復南路240巷國父紀念館MRT..,7,7,3房2廳2衛,30.0,"52,800",42
7,6036411,安和路二段知名社區/名人居/..,3,17,3房2廳2衛,37.6,"60,000",111
8,6057385,安和路一段近信義安和站*仁愛..,4,16,4房2廳2衛,49.4,"59,000",23
9,6057370,忠孝東路四段216巷東區精華地..,6,7,4房2廳2衛,42.6,"50,000",31
10,6023877,仁愛路四段122巷捷運信義安和..,12,14,4房2廳2衛,42.3,"50,000",155
11,6035456,光復南路信義安和美裝三房,5,12,3房2廳2衛,33.7,"65,000",148
12,6057194,復興南路二段12巷大安捷運站口..,2,7,3房2廳2衛,55.0,"58,000",31
13,6048632,安和路二段近信義安和站~信義..,6,12,1房1廳1衛,19.1,"42,000",51
14,6041714,仁愛路四段408巷鄰近國父紀念..,2,9,1房1廳1衛,22.2,"42,000",96
15,5991775,基隆路二段鄰近六張犁捷運站~..,11,13,3房2廳2衛,57.2,"94,999",124
16,6022159,敦化南路二段331巷舒適面樹海..,4,7,2房2廳2衛,37.1,"39,800",531
17,6022208,基隆路二段近六張犁捷運站住辦..,3,7,3房2廳2衛,37.5,"33,000",379
18,6045241,信義路二段東門站獨棟華廈,3,7,3房2廳3衛,34.8,"110,000",73
19,6057020,信義路二段148巷✿信義麗水『..,3,7,4房2廳3衛,72.2,"110,000",24
20,6001714,延吉街70巷靚~國館邊間三面採..,4,4,2房1廳1衛,24.9,"30,000",737
21,6010969,新生南路一段133巷鄰大安森林..,4,6,5房2廳4衛,136.3,"180,000",161
22,6009999,和平東路二段近科技大樓站*精..,13,13,1房1廳2衛,41.6,"80,000",144
23,5992216,敦化南路一段近忠孝敦化站*東..,10,12,3房2廳2衛,62.4,"120,000",119
24,5992206,光復南路近信義安和站*知名建..,17,19,3房2廳2衛,60.0,"90,000",111
25,5991840,敦化南路一段161巷近忠孝敦化..,2,7,4房2廳2衛,52.2,"70,000",139
26,6032258,安和路一段旺德美客§近忠孝敦..,11,12,3房2廳2衛,45.1,"78,000",60
27,6017904,新生南路一段103巷旺德美客§..,4,5,3房3廳2衛,48.0,"80,000",144
28,6054044,仁愛路三段143巷旺德美客§近..,2,7,4房2廳2衛,43.3,"65,000",45
29,6023822,信義路三段147巷旺德美客§近..,6,7,4房1廳2衛,39.5,"65,000",104
0,5979713,光復南路旺德美客§近國父紀念..,10,13,4房2廳2衛,71.3,"150,000",189
1,6048271,復興南路二段90巷旺德美客★捷..,6,7,2房1廳1衛,23.4,"42,000",47
2,6055333,四維路52巷旺德美客★捷運大安..,2,4,4房2廳2衛,48.0,"68,000",29
3,6033290,樂利路5巷旺德美客★近捷運信..,99,2,4房2廳4衛,34.3,"150,000",72
4,5986809,安和路二段旺德美客★近捷運六..,3,17,3房2廳2衛,47.0,"60,000",171
5,6018829,信義路四段265巷旺德美客◆近..,3,7,3房2廳2衛,38.7,"60,000",107
6,5980796,和平東路二段旺德美客◆科技大..,6,11,3房2廳2衛,37.8,"79,000",218
7,6041057,和平東路三段308巷旺德美客§..,3,9,4房2廳2衛,37.4,"50,000",89
8,5998340,和平東路一段183巷旺德美客§..,1,5,7房3廳4衛,53.6,"130,000",123
9,5986825,羅斯福路三段17巷旺德美客§近..,4,4,3房2廳2衛,36.0,"36,000",333
10,6044914,新生南路一段161巷旺德美客Φ..,1,6,開放式格局,59.5,"270,000",55
11,6029281,信義路二段198巷近大安森林公..,3,6,1房1廳1衛,13.7,"29,990",467
12,6045434,復興南路一段旺德美客Φ信義路..,13,14,3房2廳2衛,36.8,"108,000",51
13,6001934,光復南路旺德美客Φ捷運國父紀..,8,12,4房2廳2衛,57.9,"95,000",130
14,6029264,安和路一段交通便利適合家庭鄰..,8,16,4房2廳2衛,51.5,"68,000",105
15,5977961,羅斯福路四段旺德美客Φ捷運公..,12,12,3房2廳2衛,29.7,"40,000",221
16,6019435,和平東路一段近師大夜市~全新..,9,11,3房2廳2衛,36.7,"58,000",309
17,6016476,臥龍街高樓層~採光好~家具齊..,12,13,2房2廳1衛,24.6,"40,000",537
18,6010301,永康街75巷3房+1和~近金華國..,7,7,4房3廳3衛,72.8,"75,000",162
19,6030831,光復南路近捷運站~3+1書~近京..,10,13,4房2廳2衛,71.3,"150,000",66
20,6001789,瑞安街120巷10年內新成屋、生..,5,11,3房2廳3衛,86.6,"125,000",105
21,5988647,復興南路一段日商首選優質地段..,5,16,3房2廳2衛,54.0,"80,000",161
22,6008824,安和路一段優質管理仁愛安和全..,11,12,3房2廳2衛,45.0,"78,000",89
23,6008834,光復南路240巷全天管理國父紀..,3,11,1房1廳1衛,15.0,"30,000",231
24,6018910,安和路二段信義安和MRT．氣派..,11,25,4房2廳2衛,69.8,"100,000",82
25,6031074,光復南路240巷MRT國父紀念館..,7,11,2房1廳1衛,19.7,"42,000",112
26,6039779,和平東路一段森林公園旁有裝潢..,10,11,2房2廳1衛,22.0,"39,000",247
27,6039825,和平東路三段榮耀敦南遠企豪邸,8,19,3房2廳2衛,37.6,"65,000",80
28,6039834,"樂業街低調奢華,靜巷豪邸",4,13,3房2廳2衛,40.0,"68,000",84
29,6054835,敦化南路二段科技大樓/六張犁..,10,16,3房2廳2衛,35.7,"45,000",53
0,6027036,敦化南路二段科技大樓/六張犁..,10,16,3房2廳2衛,35.7,"45,000",158
1,6056633,信義路三段大安站下樓即到站便..,12,12,3房1廳1衛,24.0,"35,000",135
2,6008882,青田街6巷金華街永康街麗水街..,3,4,4房2廳2衛,43.5,"41,000",458
3,6056305,通化街六張犁捷運站靜巷兩房,4,4,2房1廳1衛,15.0,"32,000",129
4,6007749,忠孝東路四段248巷忠孝敦化捷..,4,5,1房0廳1衛,11.0,"22,000",836
5,6041675,安和路二段凱旋門~遠企商圈大..,3,17,3房2廳2衛,47.0,"60,000",60
6,6055343,仁愛路四段345巷捷運忠孝敦化..,4,7,2房2廳2衛,41.6,"65,000",39
7,6042995,和平東路三段市區地鐵景觀家庭..,8,12,2房1廳1衛,15.0,"32,000",436
8,6043179,光復南路三捷運101六張犁安和..,10,19,2房2廳1衛,25.0,"38,000",252
9,6054879,仁愛路四段仁愛林蔭(Br18002),7,12,5房2廳2衛,71.0,"100,000",31
10,6040617,建國南路一段忠孝東路三段/忠..,10,14,2房2廳2衛,33.0,"36,000",259
11,6044409,東豐街大安捷運站/復興..,8,14,1房1廳1衛,18.0,"30,000",208
12,6014209,和平東路三段308巷麟光捷運站..,3,9,4房2廳2衛,60.0,"50,000",158
13,6016898,安居街六張犁捷運/和平東路三..,5,7,3房2廳2衛,44.0,"30,000",697
14,5996657,敦化南路一段忠孝敦化捷..,3,11,2房2廳1衛,27.0,"48,000",281
15,6036237,信義路四段信義安和捷運站/光..,8,15,2房2廳2衛,53.0,"80,000",71
16,6029476,忠孝東路三段忠孝復興正義三房..,4,14,3房2廳1衛,32.6,"43,500",195
17,6034464,建國南路一段面大安森林公園、..,14,14,2房2廳2衛,25.0,"40,000",627
18,6044691,忠孝東路四段國父紀念館2房,7,12,2房2廳1衛,23.6,"38,000",240
19,6020259,羅斯福路三段MRT公館站、台灣..,16,19,4房2廳3衛,108.1,"119,999",139
20,5984801,仁愛路四段222巷MRT忠孝敦化..,2,9,1房1廳1衛,12.9,"29,999",433
21,6019649,仁愛路四段MRT忠孝敦化仁愛圓..,5,14,2房2廳1衛,19.8,"31,500",533
22,6010817,和平東路三段308巷六張犁捷運..,3,9,4房2廳2衛,60.0,"50,000",289
23,6054258,四維路★近大安站★超大露臺~..,4,11,3房2廳3衛,90.0,"120,000",64
24,6054188,瑞安街208巷近大安站瑞安靜巷..,3,7,3房2廳2衛,50.5,"110,000",36
25,5983454,瑞安街208巷2bdrmDaAnPark5mi..,6,7,2房1廳1衛,20.0,"50,000",143
26,6040520,新生南路一段143巷【大安森林..,3,5,3房2廳1衛,25.9,"34,000",540
27,6030960,仁愛路四段仁愛名宅高樓氣派樓..,15,19,6房3廳4衛,118.0,"134,999",112
28,6011265,仁愛路四段151巷明曜百貨寧靜..,13,13,3房2廳3衛,50.6,"59,000",186
29,6044748,敦化南路二段近信義安和捷運~..,9,21,3房2廳3衛,77.3,"110,000",53
0,6046581,忠孝東路三段❤忠孝新生捷運站..,6,13,3房2廳2衛,38.8,"50,000",147
1,6026926,光復南路240巷❤快!正一房❤..,3,11,1房1廳1衛,11.0,"29,000",279
2,6004655,光復南路台北101世貿/東區/..,9,19,1房1廳1衛,20.8,"38,000",292
3,6052754,敦化南路一段「仲介費８折」大..,7,7,5房2廳3衛,91.5,"84,999",38
4,6052751,"信義路二段永康東門,稀有雙主..",3,7,4房2廳3衛,79.3,"89,999",39
5,5975503,"信義路二段一秒東門,奢華享受..",7,14,4房2廳2衛,63.3,"84,000",302
6,5978617,敦化南路一段「仲介費８折」忠..,3,7,4房2廳2衛,52.2,"69,000",168
7,5986226,"信義路二段１分東門,尊爵榮耀..",10,14,4房3廳2衛,101.0,"124,000",199
8,5975546,光復南路「仲介費８折」信義安..,17,19,3房2廳2衛,74.8,"88,000",216
9,5978645,金山南路二段「仲介費８折」古..,2,4,2房2廳1衛,26.0,"32,499",307
10,5975535,敦化南路二段「仲介費８折」信..,4,9,2房2廳2衛,60.8,"120,000",146
11,5978608,仁愛路四段仲介費８折市政府站..,7,11,4房2廳2衛,90.6,"110,000",176
12,6045467,新生南路二段正面大安森林公園..,2,15,4房2廳4衛,151.0,"200,000",77
13,5986807,敦化南路一段東區忠孝敦化名宅..,10,12,3房2廳2衛,62.0,"120,000",199
14,5976702,安和路二段信義安和遠企樹海名..,6,25,3房2廳2衛,62.0,"120,000",306
15,6049498,忠孝東路四段忠孝敦化站.ZARA..,9,11,1房1廳1衛,12.6,"30,000",315
16,6042072,復興南路二段科技大樓站附近3..,8,18,3房2廳2衛,41.2,"40,000",249
17,6031127,信義路二段東門捷運採光明亮方..,5,7,3房2廳2衛,86.5,"84,000",100
18,6031035,信義路三段高雅裝潢空間寬敞正..,6,7,4房2廳2衛,41.3,"60,000",126
19,6030974,四維路寬敞房間近學區環境清幽..,2,4,4房2廳2衛,47.8,"68,000",67
20,6030937,通安街信義安和站高樓景觀採光..,8,9,2房2廳2衛,24.9,"50,000",103
21,6030927,復興南路二段大安捷運◇大安高..,6,7,2房2廳2衛,36.0,"45,000",169
22,6020538,忠孝東路四段溫馨裝潢*格局方..,6,6,2房2廳2衛,58.7,"97,000",138
23,5989531,信義路四段信義路優質住宅方正..,1,7,3房2廳2衛,38.3,"98,000",170
24,6002983,安和路二段安和路名宅精選美大..,11,25,4房2廳2衛,69.8,"100,000",125
25,6025944,羅斯福路二段師大古亭商圈靜巷..,4,7,2房2廳2衛,42.6,"100,000",116
26,6051886,和平東路三段六張犁捷運。高樓..,15,19,3房2廳3衛,80.9,"120,000",50
27,6038396,忠孝東路四段223巷明曜商圈三..,4,7,3房2廳2衛,39.6,"46,000",166
28,6051334,延吉街東區一街地點絕佳生活機..,5,6,3房2廳2衛,35.0,"27,000",552
29,6029589,仁愛路四段小巢何雅婷～仁愛圓..,5,12,4房2廳2衛,66.0,"150,000",91
0,6021738,仁愛路四段優質!仁愛敦南圓環..,10,15,2房1廳2衛,46.8,"60,000",103
1,6026624,建國南路一段279巷臨近..,15,15,1房1廳1衛,15.0,"18,000",1712
2,6050637,和平東路二段外商主管華僑駐台..,13,13,1房2廳2衛,41.0,"80,000",54
3,6050634,忠孝東路四段四房兩廳三衛精緻..,13,13,4房2廳3衛,67.0,"95,000",49
4,6025714,瑞安街31巷近大安捷運站寧靜高..,6,6,2房2廳1衛,46.5,"65,000",117
5,5967098,通化街57巷通化街寧靜溫馨~二..,4,4,2房1廳1衛,22.0,"22,000",2670
6,6003337,敦化南路一段160巷忠孝敦化捷..,4,4,2房1廳1衛,10.0,"25,000",938
7,6039338,敦化南路二段敦南樹海.高樓景..,9,21,4房2廳3衛,77.3,"110,000",67
8,6039332,安和路一段忠孝敦化MRT.東區商..,11,12,4房2廳2衛,45.1,"78,000",46
9,6039327,新生南路一段133巷近仁愛路...,4,6,5房2廳4衛,136.3,"179,999",57
10,6039314,信義路三段147巷大安MRT!復興..,6,7,4房2廳2衛,41.3,"60,000",64
11,6039306,安和路二段59巷近信義路.通化..,2,7,4房2廳3衛,31.4,"73,999",76
12,6010130,敦化南路一段東區CP值爆表~住..,3,12,3房2廳2衛,44.8,"63,000",162
13,6048691,忠孝東路四段東區明曜商圈超美..,4,12,2房1廳1衛,21.0,"47,000",102
14,6029977,臥龍街43巷遠企商圈敦南靜巷宅..,11,11,3房2廳2衛,38.3,"52,000",131
15,5976295,安和路二段信義安和1+1美居,6,12,1房1廳1衛,19.0,"37,000",609
16,5904497,安和路一段仁愛國中國小學信義..,5,7,4房2廳2衛,38.0,"50,000",443
17,5997843,安和路一段敦南安和優質名宅,11,12,3房2廳2衛,45.0,"78,000",134
18,6021802,信義路三段大安森林公園4房坡..,11,13,4房3廳2衛,80.4,"118,000",272
19,6043872,"羅斯福路三段高樓層,近..",9,11,2房1廳1衛,18.0,"25,000",1104
20,5981379,敦化南路二段敦南林蔭邊間景觀..,9,17,1房1廳1衛,20.0,"30,000",907
21,6026927,敦化南路二段敦南林蔭邊間美居,6,16,2房1廳1衛,20.8,"35,000",554
22,6008581,光復南路290巷國父紀念..,5,14,開放式格局,43.5,"52,000",415
23,6023967,"光復南路採光電梯2房近101,世..",7,14,2房2廳2衛,34.3,"38,000",511
24,5954870,"光復南路國父紀念館附近,電梯..",9,9,1房1廳2衛,14.0,"18,000",709
25,5989326,羅斯福路二段墨花香全新2房,3,15,2房2廳1衛,20.0,"50,000",644
26,6038190,敦化南路一段忠孝敦化商圈裝潢..,5,14,4房2廳2衛,50.0,"68,000",110
27,6015762,和平東路三段外商首選~時尚美..,15,19,3房2廳3衛,80.9,"120,000",131
28,6044248,文昌街捷運信義安和旁公寓一樓..,1,4,3房1廳2衛,28.0,"33,000",460
29,6045748,四維路66巷敦仁信義新城,7,16,3房2廳2衛,52.5,"53,000",105
0,6039239,仁愛路四段鳳翔~本棟我最熟，..,13,22,4房2廳3衛,70.0,"110,000",92
1,6045478,復興南路一段219巷忠孝復興大..,2,7,3房2廳1衛,36.0,"50,000",164
2,5976643,信義路四段★捷運信義安和★優..,2,12,3房2廳2衛,33.2,"47,996",179
3,5976625,新生南路一段近大安森林公園大..,4,6,6房2廳4衛,136.3,"168,888",220
4,5989695,大安路一段★忠孝復興捷運站旁..,5,12,1房1廳1衛,49.9,"75,997",135
5,5976588,大安路二段27巷大安站美妝豪邸,4,7,3房2廳2衛,70.2,"178,000",153
6,6009644,信義路三段★捷運大安站★平面..,7,14,開放式格局,11.8,"25,000",619
7,6034221,仁愛路四段★仁愛圓環★優質2..,5,14,2房2廳1衛,19.8,"32,000",441
8,6004376,敦化南路一段捷運忠孝敦化.東..,10,14,3房2廳2衛,60.8,"119,900",98
9,6037134,忠孝東路三段台北忠孝新生捷運..,6,13,3房2廳2衛,39.0,"50,000",330
10,6042588,仁愛路四段仁愛逸仙(Lr17003),7,11,4房2廳2衛,68.0,"120,000",49
11,6042040,通化街123巷整層倉儲出租,-1,6,開放式格局,40.0,"9,500",314
12,6041942,忠孝東路四段216巷『☆秒殺正..,7,7,4房2廳2衛,48.0,"45,000",134
13,6016617,光復南路290巷捷運國父紀念館..,3,4,3房2廳2衛,25.2,"40,000",344
14,5989272,通化街140巷通化商圈靜巷美寓,4,5,3房2廳2衛,36.1,"30,000",753
15,5984697,敦化南路一段187巷美式簡約風..,3,11,2房2廳1衛,27.0,"47,000",324
16,6016491,仁愛路四段408巷精品時尚小資..,2,9,1房1廳1衛,22.2,"43,000",175
17,5996192,仁愛路四段122巷信義路高樓層..,12,14,4房2廳2衛,42.3,"49,500",227
18,6038853,復興南路一段135巷忠孝復興站..,5,12,2房1廳1衛,19.6,"30,000",371
19,5951519,嘉興街六張犁站x庭院車庫1樓..,1,4,3房2廳2衛,46.0,"60,000",734
20,6028420,通化街57巷通化街近信義..,4,4,2房0廳1衛,15.0,"13,000",2545
21,6037466,光復南路光復高樓絕美新裝潢,10,14,1房2廳1衛,19.0,"45,000",112
22,6014944,復興南路二段151巷精華地段住辦大樓近捷運,3,7,2房1廳1衛,30.0,"29,800",383
23,5975078,忠孝東路四段忠孝敦化精緻歐洲..,8,14,3房2廳2衛,47.4,"79,000",216
24,6011094,仁愛路四段【投資價】全天管理..,3,14,4房3廳2衛,65.3,"60,000",402
25,6009537,復興南路一段107巷忠孝復興捷..,2,15,2房2廳2衛,35.5,"48,000",290
26,6029298,通化街交通便利，晚歸者安全無虞。,7,7,2房1廳1衛,18.0,"20,000",1769
27,6030678,仁愛路四段亞州大廈辦公室及個..,13,14,開放式格局,23.0,"40,000",107
28,6014383,和平東路二段大安森林美廈,8,12,3房2廳2衛,39.0,"48,000",260
29,6030598,安東街40巷電梯華廈2房含家具,7,8,2房1廳1衛,20.0,"38,000",337
0,6013904,復興南路二段151巷近捷運※建..,2,17,3房2廳1衛,29.6,"34,000",701
1,6006554,光復南路近捷運、臨江夜市※高..,17,19,3房2廳2衛,60.0,"90,000",94
2,5978344,忠孝東路四段216巷近捷運高樓..,6,7,4房2廳2衛,42.6,"50,000",175
3,5933912,敦化南路二段敦南新鑽名宅,13,24,5房2廳4衛,86.1,"160,000",78
4,5997851,忠孝東路四段170巷忠孝敦化站..,6,6,3房2廳2衛,58.1,"100,000",225
5,6028920,和平東路二段36巷大安森林公園..,9,10,4房2廳2衛,45.0,"53,000",145
6,6027220,安和路一段近捷運全新裝潢3+1..,11,12,4房2廳2衛,45.1,"78,000",83
7,6025936,光復南路240巷近捷運國父紀念..,3,11,1房1廳1衛,15.3,"27,000",480
8,6017522,忠孝東路四段忠孝東路四段.明..,4,12,2房2廳2衛,17.0,"47,000",131
9,5978317,和平東路三段國立台北教..,7,12,1房1廳1衛,12.9,"20,000",2988
10,6021747,青田街7巷青田綠蔭華廈~~信任..,2,5,2房2廳1衛,23.1,"35,000",747
11,6005994,復興南路二段151巷成功國宅屋..,2,17,3房2廳1衛,31.2,"34,000",1519
12,6016989,仁愛路四段408巷仁愛逸仙時上..,2,9,1房1廳1衛,27.4,"36,000",336
13,6016163,"敦南街敦藏,奢華低調,裝新整..",1,11,5房2廳4衛,54.0,"180,000",196
14,5977298,復興南路一段253巷大安雙捷運..,13,14,3房2廳2衛,36.5,"45,000",205
15,6010594,信義路二段44巷東門捷運。永康..,4,5,3房2廳2衛,33.8,"37,000",412
16,6001154,敦化南路二段鑽石雙星高樓面敦..,18,21,2房3廳3衛,75.0,"108,000",222
17,6006452,東豐街東豐街大三房0932-39613..,6,7,3房3廳3衛,56.0,"55,000",140
18,5958929,四維路170巷吳季剛設計名宅縱..,4,11,3房1廳3衛,90.0,"120,000",661
19,5986447,延吉街國泰醫院旁.信義安和...,2,7,3房2廳2衛,23.6,"45,000",799
20,6000646,仁愛路三段吾之疆界非凡雅居盡..,100,19,3房2廳2衛,58.0,"168,000",198
21,5989361,"羅斯福路二段師大薈萃巷弄,質..",4,7,2房2廳2衛,42.0,"100,000",163
22,5992439,安和路二段遠企樓中樓5房,22,25,5房2廳5衛,117.9,"160,000",179
23,5992431,光復南路逸仙首馥大4房,7,13,4房2廳3衛,60.5,"98,000",170
24,5989873,仁愛路三段118巷仁愛帝寶芳鄰..,3,6,3房2廳2衛,44.4,"57,000",349
25,5988761,辛亥路二段面台大校園景觀樹海..,13,26,5房2廳2衛,58.1,"55,000",303
26,5978807,辛亥路一段台電捷運高樓3房,12,14,3房2廳2衛,40.4,"50,000",308
27,5987147,四維路170巷＊＊遠企新兩房＊..,4,8,2房1廳1衛,19.5,"30,000",1583
28,5986459,永康街東門捷運。精緻裝潢三房..,2,12,3房2廳1衛,27.7,"48,000",290
29,5986446,復興南路一段126巷忠孝復興捷..,8,11,2房1廳1衛,23.9,"43,000",377
